Lfd. Nr.;AHB;"Beschreibung des Anwendungsfalls aus dem AHB (EDIFACT)
API-Webservice (API)";Prüfidentifikator;Reaktion auf Prüfidentifikator;Prozessbeschreibung;"Prozessschritt aus 
Kapitel";Bezeichnung aus Sequenzdiagramm;Prozessschritt aus Sequenzdiagramm;Aktion;Kommunikation von;Kommunikation an;Zuordnung zu einem Objekt;Zuordnung zu einem Geschäftsvorfall;Erweiterte Zuordnung;Objekteigenschaft;Sparte Strom;"Sparte 
Gas";Übertragungsweg;Fußnote;Meilenstein;"Kommunikation von : 
Auslösende Events";"Kommunikation von: 
Lesende Schnittstellen";"Kommunikation von: 
Schreibende Schnittstellen";"Kommunikation an: 
Lesende Schnittstellen";"Kommunikation an: 
Schreibende Schnittstellen"
8440;--;--;--;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für den Bilanzkreisabweichungssaldo zwischen BKV und BIKO;4;manuelle Fehlerklärung;BKV;BIKO;--;--;--;--;X;--;--;;4;;;;;
8450;ORDERS AHB MaBiS;Anforder. Clearingliste DZR;17205;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Netzbetreiber-Deltazeitreihe zwischen BIKO und NB;1;Anforderung Clearingliste NB-DZR;NB;BIKO;--;ZG-T15;--;--;X;--;AS4;;4;;;;;
8470;UTILMD AHB Strom;Clearingliste DZR;55069;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Netzbetreiber-Deltazeitreihe zwischen BIKO und NB;3;Übermittlung Clearingliste NB-DZR;BIKO;NB;--;ZG-T25;--;--;X;--;AS4;;4;;;;;
8480;--;--;--;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Netzbetreiber-Deltazeitreihe zwischen BIKO und NB;4;manuelle Fehlerklärung;NB;BIKO;--;--;--;--;X;--;--;;4;;;;;
8490;ORDERS AHB MaBiS;Anforderung Clearingliste ÜNB-DZR;17208;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Übertragungsnetzbetreiber-Deltazeitreihe zwischen BIKO und ÜNB;1;Anforderung Clearingliste ÜNB-DZR;ÜNB;BIKO;--;ZG-T15;--;--;X;--;AS4;;4;;;;;
8510;UTILMD AHB Strom;Clearingliste DZR;55069;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Übertragungsnetzbetreiber-Deltazeitreihe zwischen BIKO und ÜNB;3;Übermittlung Clearingliste ÜNB-DZR;BIKO;ÜNB;--;ZG-T25;--;--;X;--;AS4;;4;;;;;
8520;--;--;--;--;MaBiS;;Anforderung und Übermittlung der Clearingliste für die Übertragungsnetzbetreiber-Deltazeitreihe zwischen BIKO und ÜNB;4;manuelle Fehlerklärung;ÜNB;BIKO;--;--;--;--;X;--;--;;4;;;;;
8530;PRICAT AHB;Übermittlung Ausgleichsenergiepreis;27001;--;MaBiS;;Übermittlung Ausgleichsenergiepreis;1;Ausgleichsenergiepreis;BIKO;BKV;--;--;--;--;X;--;AS4;;4;;;;;
8540;UTILMD AHB Strom;Aktivierung von ZP;55062;--;MaBiS;;Aktivierung eines MaBiS-Zählpunkts für die tägliche Bilanzierungsgebietssummenzeitreihe vom ÜNB an NB;1;Aktivierung eines MaBiS-ZP für die BG-SZR (Kategorie C);ÜNB;NB;--;--;--;--;X;--;AS4;;4;;;;;
8550;UTILMD AHB Strom;Deaktivierung von ZP;55063;--;MaBiS;;Deaktivierung eines MaBiS-ZP für die tägliche Bilanzierungsgebietssummen-zeitreihe vom ÜNB an NB;1;Deaktivierung eines MaBiS-ZP für die BG-SZR (Kategorie C);ÜNB;NB;ZO-T1;--;--;--;X;--;AS4;;4;;;;;
8560;MSCONS AHB;Summenzeitreihe;13003;--;MaBiS;;Übermittlung der täglichen Bilanzierungsgebietssummenzeitreihe vom ÜNB an NB;1;BG-SZR (Kategorie C);ÜNB;NB;"ZO-T14
und
ZO-T21";--;--;--;X;--;AS4;;4;;;;;
8570;UTILMD AHB Strom;Aktivierung von ZP;55062;--;MaBiS;;Aktivierung eines MaBiS-Zählpunkts für die tägliche Bilanzkreissummenzeitreihe vom ÜNB an BKV;1;Aktivierung eines MaBiS-ZP für die BK-SZR (Kategorie C);ÜNB;BKV;--;--;--;--;X;--;AS4;;4;;;;;
8580;UTILMD AHB Strom;Deaktivierung von ZP;55063;--;MaBiS;;Deaktivierung eines MaBiS-ZP für die tägliche Bilanzkreissummenzeitreihe vom ÜNB an BKV;1;Deaktivierung eines MaBiS-ZP für die BK-SZR (Kategorie C);ÜNB;BKV;ZO-T1;--;--;--;X;--;AS4;;4;;;;;
8590;MSCONS AHB;Summenzeitreihe;13003;--;MaBiS;;Übermittlung der täglichen Bilanzkreissummenzeitreihe vom ÜNB an BKV;1;BK-SZR (Kategorie C);ÜNB;BKV;"ZO-T14
und
ZO-T21";--;--;--;X;--;AS4;;4;;;;;
8640;MSCONS AHB;Lastgang Messlokation, Netzkoppelpunkt, Netzlokation;13018;--;MaBiS BK6-19-218 Bilanzkreistreue;;Übermittlung Netzgangzeitreihe;1;Übermittlung Netzgangzeitreihe;NB (verantwortlicher NB);NB (benachbarter NB);ZO-T14;--;--;--;X;--;AS4;;4;;;;;
8650;--;--;--;--;MaBiS BK6-19-218 Bilanzkreistreue;;Übermittlung Netzgangzeitreihe;2;(manuelle Fehlerklärung);NB (benachbarter NB);NB (verantwortlicher NB);--;--;--;--;X;--;--;;4;;;;;
8660;MSCONS AHB;Lastgang Messlokation, Netzkoppelpunkt, Netzlokation;13018;--;MaBiS BK6-19-218 Bilanzkreistreue;;Übermittlung Netzgangzeitreihe;3;Übermittlung Netzgangzeitreihe;NB (verantwortlicher NB);ÜNB;ZO-T14;--;--;--;X;--;AS4;;4;;;;;
8670;--;--;--;--;MaBiS BK6-19-218 Bilanzkreistreue;;Übermittlung Netzgangzeitreihe;4;(manuelle Fehlerklärung);NB (benachbarter NB);NB (verantwortlicher NB);--;--;--;--;X;--;--;;4;;;;;
8680;MSCONS AHB;Lastgang Messlokation, Netzkoppelpunkt, Netzlokation;13018;--;MaBiS;;"UF MaBiS_006
Übermittlung Netzgangzeitreihe";1;Übermittlung Netzgangzeitreihe;NB (verantwortlicher NB);NB (benachbarter NB);ZO-T14;--;--;--;X;--;AS4;;4;;;;;
8690;--;--;--;--;MaBiS;;"UF MaBiS_006
Übermittlung Netzgangzeitreihe";2;(manuelle Fehlerklärung);NB (benachbarter NB);NB (verantwortlicher NB);--;--;--;--;X;--;--;;4;;;;;
8691;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Übergabe der Kontaktdaten ;1;(Kontaktdaten der DB);NB (entspricht NBA);NB (entspricht NBN);--;--;--;--;--;X;--;;5;;;;;
8692;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Übergabe der Kontaktdaten ;2;(Aktualisierte Kontaktdaten);NB (entspricht NBA);NB (entspricht NBN);--;--;--;--;--;X;--;;5;;;;;
8693;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Information der DB;1;"Information des DB über
Netzbetreiberwechsel - Abgabe";NB (entspricht NBA);DB;--;--;--;--;--;X;--;;5;;;;;
8694;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Information der DB;2;"Information des DB über
Netzbetreiberwechsel - Übernahme";NB (entspricht NBN);DB;--;--;--;--;--;X;--;;5;;;;;
8695;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Information der DB;3;Information des neuen DB über Netzbetreiberwechsel - Abgabe;NB (entspricht NBA);neuer DB;--;--;--;--;--;X;--;;5;;;;;
8696;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Information der DB;4;Information des neuen DB über Netzbetreiberwechsel - Übernahme;NB (entspricht NBN);neuer DB;--;--;--;--;--;X;--;;5;;;;;
8697;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Übergabe der Stammdaten;1;"Stammdaten zu Marktlokation
und Messlokation";NB (entspricht NBA);NB (entspricht NBN);--;--;--;--;--;X;--;;5;;;;;
8698;Manuell;--;--;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Übergabe der Stammdaten;2;"Stammdaten zu Marktlokation
und Messlokation";NB (entspricht NBA);NB (entspricht NBN);--;--;--;--;--;X;--;;5;;;;;
8790;MSCONS AHB;Zählerstand (Gas);13002;--;Leitfaden Marktprozesse Netzbetreiberwechsel;;Werteübermittlung Gas an NB;1;Werte Messlokation;NBA;NBN;--;--;EZ-02;--;--;X;AS4;;5;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
8800;INVOIC / REMADV AHB;Kapazitätsrechnung;31010;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;1a;Kapazitätsrechnung;NB;KN;--;ZG-T48;--;--;--;X;AS4;;6;;;;;
8810;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;1b;"Übermittlung der Detailinformationen
zu abrechnungsrelevanten
Geschäftsvorfällen";--;--;--;--;--;--;--;X;--;;6;;;;;
8820;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;2;Prüfung;--;--;--;--;--;--;--;X;--;;6;;;;;
8830;INVOIC / REMADV AHB;Bestätigung;33001;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;3a;Zahlungsavise;KN;NB;--;ZG-T31;--;--;--;X;AS4;;6;;;;;
8840;INVOIC / REMADV AHB;Abweisung;33002;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;3b;Zahlungsablehnung;KN;NB;--;ZG-T31;--;--;--;X;AS4;;6;;;;;
8850;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;4;Prüfung;--;--;--;--;--;--;--;X;--;;6;;;;;
8860;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;5;"Ggf. Eingang sonstiger
abrechnungsrelevanter
Änderungen beim NB";--;--;--;--;--;--;--;X;--;;6;;;;;
8870;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;6;"Ggf. Prüfung der Meldungen
bzw. Änderungen";--;--;--;--;--;--;--;X;--;;6;;;;;
8880;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;7a;"Kapazitätsabrechnung
war korrekt.
Bei Ablehnung der Kapazitätsabrechnung
durch TK (KN) (Prozessschritt
Nr. 3b) und Prüfergebnis
des NB (Prozessschritt
Nr. 4), dass
die ursprüngliche Kapazitätsabrechnung
korrekt
war.";NB;TK (KN);--;--;--;--;--;X;--;;6;;;;;
8890;INVOIC / REMADV AHB;Stornorechnung;31004;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;7b;"Kapazitätsabrechnung
war fehlerhaft. Bei Ablehnung
der Kapazitätsabrechnung
durch TK
(KN) (Prozessschritt Nr.
3 zu Zahlungsablehnung)
und Prüfergebnis
des NB (Prozessschritt
Nr. 4), dass die ursprüngliche
Kapazitätsabrechnung
nicht korrekt
war und/oder b) bei
nachträglichen relevanten
Änderungen (Prozessschritte
Nr. 5 bis 8):
Übersendung einer Stornorechnung
durch NB
an TK (KN) und Übersendung
einer neuen
Kapazitätsabrechnung.";NB;TK (KN);--;ZG-T21;--;--;--;X;AS4;;6;;;;;
8900;--;--;--;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;8;Prüfung;--;--;--;--;--;--;--;X;--;;6;;;;;
8910;INVOIC / REMADV AHB;Bestätigung;33001;--;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern; ;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;9;Zahlungsavise;KN;NB;--;ZG-T31;--;--;--;X;AS4;;6;;;;;
8915;INVOIC / REMADV AHB;Abweisung;33002;;Prozessbeschreibung zur Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;;Kapazitätsabrechnung an Ausspeisepunkten zu Letztverbrauchern;9;Zahlungsavise;KN;NB;--;ZG-T31;;;;;AS4;;6;;;;;
8920;UTILMD AHB Gas;Abmeldung NN vom NB;44007;--;GeLi Gas;;"UF GPKE_GeLiGas_004
Lieferende von NB an LF";1;Abmeldung;NB;LF;ZO-T1;--;--;--;--;X;AS4;;3;;;;;
8930;UTILMD AHB Gas;Bestätigung Abmeldung vom NB;44008;--;GeLi Gas;;"UF GPKE_GeLiGas_004
Lieferende von NB an LF";2;Antwort auf Abmeldung;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
8940;UTILMD AHB Gas;Ablehnung Abmeldung vom NB;44009;--;GeLi Gas;;"UF GPKE_GeLiGas_004
Lieferende von NB an LF";2;Antwort auf Abmeldung;LF;NB;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
8950;--;--;--;--;GeLi Gas;;"UF GPKE_GeLiGas_004
Lieferende von NB an LF";3;ref: Stammdatenänderung vom NB (verantwortlich) ausgehend;--;--;--;--;--;--;--;X;--;;3;;;;;
9000;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von initialen Stammdaten;1;Initiale Stammdaten;EIV;DP;--;--;--;--;X;--;RD;;6;;;;;
9010;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von initialen Stammdaten;2;Weiterleitung initiale Stammdaten;DP;NB (ANB);--;--;--;--;X;--;RD;;6;;;;;
9020;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von angereicherten Stammdaten;1;Angereicherte Stammdaten;NB (ANB);DP;--;--;--;--;X;--;RD;;6;;;;;
9030;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von angereicherten Stammdaten;2;Weiterleitung angereicherte Strammdaten;DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9040;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung Stammdatenänderung vom EIV (verantwortlich) ausgehend;1;Stammdatenänderung;EIV;DP;--;--;--;--;X;--;RD;;6;;;;;
9050;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung Stammdatenänderung vom EIV (verantwortlich) ausgehend;2;Weiterleitung Stammdatenänderung;DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9060;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung Stammdatenänderung vom (Anschluss-)NB (verantwortlich) ausgehend;1;Stammdatenänderung;NB (ANB);DP;--;--;--;--;X;--;RD;;6;;;;;
9070;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung Stammdatenänderung vom (Anschluss-)NB (verantwortlich) ausgehend;2;Weiterleitung Stammdatenänderung;DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9080;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von Planungsdaten im Planwertmodell;1;Planungsdaten;EIV;DP;--;--;--;--;X;--;RD;;6;;;;;
9090;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von Planungsdaten im Planwertmodell;2;Weiterleitung Planungsdaten;DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9100;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von Nichtbeanspruchbarkeiten an NB;1;Nichtbeanspruchbar-keiten;EIV;DP;--;--;--;--;X;--;RD;;6;;;;;
9110;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung von Nichtbeanspruchbarkeiten an NB;2;"Weiterleitung der
Nichtbeanspruchbarkeiten";DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9120;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung markbedingte Anpassung im Prognosemodell;1;Marktbedingte Anpassung;EIV;DP;--;--;--;--;X;--;RD;;6;;;;;
9130;XML;--;--;--;Kommunikationsprozesse Redispatch;;Übermittlung markbedingte Anpassung im Prognosemodell;2;Weiterleitung marktbedingte Anpassung;DP;NB (betroffene NB);--;--;--;--;X;--;RD;;6;;;;;
9140;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;1;RD-Abruf;NB (anweisender NB);DP;--;--;--;--;X;--;RD;;6;;;;;
9150;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;2;Weiterleitung RD-Abruf;DP;EIV;--;--;--;--;X;--;RD;;6;;;;;
9160;--;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;3;"ref Übermittlung von
Planungsdaten im
Planwertmodell";EIV;--;--;--;--;--;X;--;--;;6;;;;;
9170;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;4;Information RD-Abruf;NB (anweisender NB);DP;--;--;--;--;X;--;RD;;6;;;;;
9180;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;5;"Weiterleitung Information
über RD-Abruf";DP;LF;--;--;--;--;X;--;RD;;6;;;;;
9190;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Aufforderungsfall mit Delta-/Sollwertanweisung;6;"Weiterleitung Infomation
über RD-Abruf";LF;BKV (des LF);--;--;--;--;X;--;RD;;6;;;;;
9200;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;1;"Verbindliche Information
mit Sollwerten";NB (anweisender NB);DP;--;--;--;--;X;--;RD;;6;;;;;
9210;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;2;"Weiterleitung verbindliche
Information
mit Sollwerten";DP;EIV;--;--;--;--;X;--;RD;;6;;;;;
9220;--;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;3;"Ref Übermittlung von
Planungsdaten im
Planwertmodell";EIV;--;--;--;--;--;X;--;--;;6;;;;;
9230;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;4;"Verbindliche Information
mit Sollwerten";EIV;BTR;--;--;--;--;X;--;RD;;6;;;;;
9240;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;5;"Weiterleitung verbindliche
Information
mit Sollwerten";DP;LF;--;--;--;--;X;--;RD;;6;;;;;
9250;XML;--;--;--;Kommunikationsprozesse Redispatch;;Abruf im Duldungsfall mit Sollwertanweisung;6;"Weiterleitung verbindlicher
Information
mit Sollwerten";LF;BKV (des LF);--;--;--;--;X;--;RD;;6;;;;;
9260;MSCONS AHB;Übermittlung von meteorologischen Daten;13021;--;Kommunikationsprozesse Redispatch;;Übermittlung von meteorologischen Daten (Ex-post-Daten) vom BTR an ANB;1;Meteorologische Daten;BTR;NB (ANB);ZO-T14;--;--;--;X;--;RD;;6;;;;;
9270;MSCONS AHB;Übermittlung von meteorologischen Daten;13021;--;Kommunikationsprozesse Redispatch;;Weiterleitung von meteorologischen Daten (Ex-post-Daten) vom ANB an den anfNB;1;Weiterleitung meteorologische Daten;NB (ANB);NB (anf. NB);ZO-T14;--;--;--;X;--;RD;;6;;;;;
9280;MSCONS AHB;Redispatch 2.0 Einzelzeitreihe Ausfallarbeit;13022;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;1;Ermittelte Ausfallarbeit;NB;BTR;ZO-T14;--;--;--;X;--;RD;;6;;;;;
9290;IFTSTA AHB;Ansicht BTR;21038;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;2;Bestätigung Ausfallarbeit;BTR;NB;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9300;IFTSTA AHB;Ansicht BTR;21038;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;3;"Ablehnung und Übermittlung
Gegenvorschlag";BTR;NB;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9305;MSCONS AHB;Redispatch 2.0 Einzelzeitreihe Ausfallarbeit;13022;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;3;"Ablehnung und Übermittlung
Gegenvorschlag";BTR;NB;--;ZG-T32;--;--;X;--;RD;;6;;;;;
9310;IFTSTA AHB;Ansicht NB;21037;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;4;Übernahme Gegenvorschlag;NB;BTR;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9320;IFTSTA AHB;Ansicht NB;21037;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Prognosemodell;5;Ablehnung Gegenvorschlag;NB;BTR;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9330;MSCONS AHB;Redispatch 2.0 Einzelzeitreihe Ausfallarbeit;13022;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;1;"Ausfallarbeit und
Fahrplananteil je TR";BTR;NB;ZO-T14;--;--;--;X;--;RD;;6;;;;;
9340;IFTSTA AHB;Ansicht NB;21037;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;2;"NB bestätigt Ausfallarbeit
und Fahrplananteile
des BTR";NB;BTR;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9350;IFTSTA AHB;Ansicht NB;21037;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;3;"NB lehnt mit Begründung
ab und übermittelt
Gegenvorschlag";NB;BTR;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9355;MSCONS AHB;Redispatch 2.0 Einzelzeitreihe Ausfallarbeit;13022;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;3;"NB lehnt mit Begründung
ab und übermittelt
Gegenvorschlag";NB;BTR;--;ZG-T32;--;--;X;--;RD;;6;;;;;
9360;IFTSTA AHB;Ansicht BTR ;21038;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;4;Übernahme Gegenvorschlag;BTR;NB;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9370;IFTSTA AHB;Ansicht BTR ;21038;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;5;Ablehnung Gegenvorschlag;BTR;NB;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9380;IFTSTA AHB;Ansicht NB;21037;--;Kommunikationsprozesse Redispatch;;Ermittlung und Abstimmung der abrechnungsrelevanten Ausfallarbeit – Planwertmodell;6;Ablehnung inkl. Korrekturanforderung;NB;BTR;--;ZG-T33;--;--;X;--;RD;;6;;;;;
9390;ORDERS AHB MaBiS;Anforderung Ausfallarbeit;17209;--;Kommunikationsprozesse Redispatch;;Anforderung der Ausfallarbeit durch den anfNB;1;"Anforderung der ¼-h-
Ausfallarbeit je TR
und RD-Maßnahme";NB (anfNB);NB (ANB);--;ZG-T49;--;--;X;--;RD;;6;;;;;
9400;MSCONS AHB;Redispatch 2.0 Einzelzeitreihe Ausfallarbeit;13022;--;Kommunikationsprozesse Redispatch;;Anforderung der Ausfallarbeit durch den anfNB;2;"Übermittlung der abgestimmten
Ausfallarbeit";NB (anfNB);NB (ANB);--;ZG-T32;--;--;X;--;RD;;6;;;;;
9410;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Bilanzierungsmodells;1;(Neues Bilanzierungsmodell);EIV;NB (ANB);--;--;--;--;X;--;--;;6;;;;;
9420;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Bilanzierungsmodells;2;(Bestätigung);NB (ANB);EIV;--;--;--;--;X;--;--;;6;;;;;
9430;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Bilanzierungsmodells;3;(Ablehnung);NB (ANB);EIV;--;--;--;--;X;--;--;;6;;;;;
9440;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Abrechnungsmodells;1;(Neues Abrechnungsmodell);EIV;NB (ANB);--;--;--;--;X;--;--;;6;;;;;
9450;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Abrechnungsmodells;2;(Bestätigung);NB (ANB);EIV;--;--;--;--;X;--;--;;6;;;;;
9460;Manuell;Manuell;--;--;Kommunikationsprozesse Redispatch;;Wechsel des Abrechnungsmodells;3;(Ablehnung);NB (ANB);EIV;--;--;--;--;X;--;--;;6;;;;;
9470;XML;--;--;--;MaBiS;;Bilanzieller Ausgleich im Planwertmodell;1;Ausgleichsfahrplan;BKV (anf NB);ÜNB;--;--;--;--;X;--;--;;4;;;;;
9480;XML;--;--;--;MaBiS;;Bilanzieller Ausgleich im Planwertmodell;2;Ausgleichsfahrplan;BKV (des LF);ÜNB;--;--;--;--;X;--;--;;4;;;;;
9490;XML;--;--;--;MaBiS;;"Übermittlung des Prognosefahrplans im
Prognosemodell";1;"Prognosefahrplan
(FC-RD)";BKV (anf NB);ÜNB;--;--;--;--;X;--;--;;4;;;;;
9500;XML;--;--;--;MaBiS;;Bilanzieller Ausgleich bei Clustern;1;Ausgleichsfahrplan;BKV (anf NB);ÜNB;--;--;--;--;X;--;--;;4;;;;;
9510;XML;--;--;--;MaBiS;;Bilanzieller Ausgleich bei Clustern;2;Ausgleichsfahrplan;BKV (clusternder NB);ÜNB;--;--;--;--;X;--;--;;4;;;;;
9520;UTILMD AHB Strom;Aktivierung ZP tägliche AAÜZ;55197;--;MaBiS;;Aktivierung eines MaBiS-Zählpunkts für die tägliche Ausfallarbeitsüberführungszeitreihe (AAÜZ);1;"Aktivierung eines
MaBiS-ZP für die tägliche AAÜZ";NB (ANB);ÜNB;--;--;--;--;X;--;AS4;;4;;;;;
